photo_id,exif_camera_make,exif_camera_model,exif_iso,exif_focal_length,exif_aperture_value,exif_exposure_time,orientation
5E-_orYLhs0,OLYMPUS CORPORATION,E-M10MarkII,320,45,20,1/100,1
iKCh4GZy-j0,Canon,Canon EOS 550D,100,11,8,1/250,1
9YpzV6czaAI,Canon,Canon EOS 70D,100,50,2,1/2000,1
oC1sQVnf_EY,Canon,Canon EOS 70D,100,34,4,10,0
WCxQTOcKv8U,Canon,Canon EOS 60D,160,50,5.6,1/500,1
rIDE73mqi2s,Canon,Canon EOS 5D Mark IV,100,16,16,1/8,1
_wGbMD-Lf0w,NIKON CORPORATION,NIKON D750,640,34,5.6,1/1600,0
vZZqktl4w7Q,Canon,Canon EOS 5DS,1250,255,5,1/500,1
qO0O57ei1ik,NIKON CORPORATION,NIKON D750,100,130,6.3,1/640,1
RAVdOqWXPvg,Canon,Canon EOS REBEL T5i,100,49,5.6,1/500,1
wDb8v95nkak,Canon,Canon EOS 60D,100,24,3.5,1/250,0
OQpCUa_QkBw,Canon,Canon EOS REBEL T5i,3200,300,8,1/320,1
__U6tHlaapI,FUJIFILM,X-E2,6400,85,,30,0
U3co5BmlyWE,NIKON CORPORATION,NIKON D700,400,20,11,30,1
nT2mpbm_QRg,,,,,,,1
1azAjl8FTnU,,,,,,,0
d7t7TjsBfpY,Canon,Canon EOS 5D Mark II,,35,1.6,1/2500,0
9zCe4gIrLhU,NIKON CORPORATION,NIKON D5200,320,18,3.5,1/40,1
Oz2ZQ2j8We8,Canon,Canon EOS 5D Mark III,1600,16,2.8,30,0
3dbapOlQ6ps,Panasonic,DMC-FZ300,100,35.6,4,1/1600,1
xwTYw9knAG8,,,,,,,1
LSjsl6IzBEc,SONY,ILCE-7RM2,640,35,2,1/500,0
dwRmkH0C8Cg,Canon,Canon EOS 80D,640,50,1.8,1/180,1
eQaUlrIdgfA,NIKON CORPORATION,NIKON 1 V1,400,30,5.6,1/2500,1
NLZdDzplC8c,Canon,Canon EOS 5DS,6400,220,5.6,1/8000,1
kOWhCu74q7M,NIKON CORPORATION,NIKON D3200,100,52,5,1/640,1
m-fg5ZHJB_o,,,,,,,1
XSMsa2VwSxw,Canon,Canon EOS REBEL T5,200,37,8,1/8,1
vmTZW2FNvP8,NIKON CORPORATION,NIKON D7000,2000,300,5.6,1/1250,1
0yJZXiHNglQ,Canon,Canon EOS 5D Mark II,640,50,2.8,1/50,1
NEi1NeAZDf0,,,,,,,1
hF27It_F5xY,,,,,,,0
2hpvikJ1EoA,Canon,Canon EOS 7D,400,105,4,1/400,1
IrQwXgk8Q88,Canon,Canon EOS 60D,100,90,5,1/640,1
xg8z_KhSorQ,,,,,,,1
ZZYaTMuxFwg,NIKON CORPORATION,NIKON D4S,1600,200,2.8,1/200,0
vP5Im4q8Z6g,SONY,ILCE-9,100,70,4.5,25,1
oGkwnLRxB8w,NIKON CORPORATION,NIKON D750,3200,24,2.8,25,1
SqBK8g4g_ug,,,,,,,0
yLympaD0S4I,SONY,ILCE-6000,640,136,7.1,1/400,1
wBCGx4lb5zs,Canon,Canon EOS 6D,320,105,10,1/200,1
qwoW4mdqjWw,SONY,ILCE-6300,100,24,1.8,1/400,0
bjf2nQPyT3M,Canon,Canon EOS 70D,2000,35,2.2,1/160,1
W4o1oWx0k0g,,,,,,,1
Wd-a5H3PK6k,SONY,ILCE-6500,100,18,13,1/10,0
7mT2N0Wwzk0,Panasonic,DMC-FZ1000,125,44.4,6.3,1/2000,1
Ionmf8WTXoA,Canon,Canon EOS 700D,200,200,5.6,1/1600,1
06lv_LBX3pk,Canon,Canon EOS 700D,100,55,7.1,1/1000,1
OA2usnLvqAU,Canon,Canon EOS 5D Mark III,400,70,2.8,1/2000,1
Ie4O_TzFJmc,SONY,ILCE-6500,640,51,4.5,1/160,1
Lx7vsvRmWdA,Canon,Canon EOS REBEL T5i,400,250,5.6,1/15,1
JFWZAABDDOo,Canon,Canon EOS 5D Mark III,1000,70,4,1/13,1
CjcSk5zxa2M,NIKON CORPORATION,NIKON D500,2000,50,1.4,1/50,1
_j7XBC-PGpI,OLYMPUS IMAGING CORP.,E-PL7,800,14,8,13,0
7RZj4IrPT9Y,DJI,FC300S,100,3.6,2.8,1/100,1
pCv_JJmYLRc,Canon,Canon EOS 700D,100,18,3.5,1/500,0
-xZqcyTBUSI,,,,,,,1
cujzXuKmHwI,SONY,ILCE-7,320,28,4,1/60,1
-ZXDwPL4kgE,FUJIFILM,X-T1,200,27,2.8,1/500,0
8zr_bdZMDCA,OLYMPUS IMAGING CORP.,E-M10,100,25,1.8,1/4000,1
6pOoFqIEMR4,NIKON CORPORATION,NIKON D750,250,400,5.6,1/800,1
-6_jB6qjwCQ,Canon,,100,70,8,1/800,1
aLKzrIb15Mk,SONY,SLT-A99V,100,60,2.8,1/250,0
ptp1UHJ6c5M,NIKON CORPORATION,NIKON D50,800,18,4.5,1/125,0
WBBvWIgF6xY,Canon,Canon EOS 6D,100,35,1.6,1/250,0
SxiWUpGLaZM,SONY,ILCE-7S,2500,35,11,1/60,0
2PlEbDf1NbA,SONY,ILCE-7M2,2500,16,3.2,15,1
ze7z6JENYVk,Canon,Canon EOS 6D,800,50,1.4,1/160,1
_ihGttRnT_I,FUJIFILM,X-T1,100,35,1.4,1/1900,1
MYbaRJyR_Iw,NIKON CORPORATION,NIKON D4S,280,24,2.8,1/5000,1
GJez8OZsyec,SONY,ILCE-6500,320,31,6.3,1/1000,0
MTK54Bd3b1I,Canon,Canon EOS Rebel T6i,400,12,5,1/60,0
Xdv4XERxhOM,Canon,Canon EOS 5D Mark III,400,600,8,1/2000,1
Q7QM2WSOTs4,SONY,ILCE-6000,125,60,2.8,1/100,0
7HumYpbG4TM,DJI,FC1102,800,4.5,2.6,1/6,1
MMC9UV4uw3Y,SONY,ILCE-7M2,2500,,,1/10,0
tqRlYH1Dc08,DJI,FC220,100,4.7,2.2,1/280,0
jbVSLUmzmDo,SONY,ILCE-7RM3,100,85,1.4,1/800,0
o0h7czAis4U,Canon,Canon EOS 5D Mark II,160,32,4,1/1000,1
kjbUGZyTSho,Apple,iPhone X,32,4,1.8,1/100,0
wDLnCaHHrKU,,,,,,,1
bFZIJJ-KbAk,NIKON CORPORATION,NIKON D70,1600,70,4.5,1/400,1
OTTIkYClEyI,Canon,Canon EOS 5D,400,24,8,1/125,1
2rpCX4nGqeE,FUJIFILM,X-A2,250,16,3.5,1/160,0
w6cETx5yHDg,Canon,Canon EOS REBEL T3,100,39,5,1/125,1
3_VpkOZJAkc,SONY,ILCE-7RM2,6400,24,4,1/60,0
cUaXzFXVKkA,SONY,ILCE-7M2,100,55,8,1/250,1
gPVK0VIjKcA,NIKON CORPORATION,NIKON D600,100,35,4,1/250,0
qdPnQuGeuwU,NIKON CORPORATION,NIKON D7000,200,35,20,1/50,0
9W0TTWlZELY,SONY,ILCE-7RM2,500,20,13,1/250,1
DWUDgygKb7I,FUJIFILM,X-T2,200,503.4,10,1/105,1
EMaAJ_xJb8s,SONY,ILCE-7M3,100,90,3.5,1/500,1
zGSch94aKT8,FUJIFILM,X-T1,200,35,5.6,1/200,0
l0oZqM8Zf1o,Panasonic,DMC-GM1,200,65,5.3,1/4000,1
23mWSDzAIBc,Canon,Canon EOS 5D Mark III,100,135,2.8,1/4000,1
CZM6iFnVRv4,Canon,Canon EOS 5D Mark III,100,135,2.2,1/640,1
S3B7ggBYwqM,Canon,Canon EOS 6D,320,24,4,1/1000,1
tD49TlJHLeY,SONY,ILCE-7RM2,2000,24,2.8,1/100,0
cjO4_06pkSM,Canon,Canon EOS 80D,400,55,3.5,1/2500,0
AsRAyHIkOHk,NIKON CORPORATION,NIKON D3000,400,50,1.8,1/320,0
rtsduzaNk-E,SONY,ILCE-7RM2,100,65,8,1/200,1
TW2bfT_tWDI,Canon,Canon EOS 70D,1000,50,4,1/80,0
rMhG9ThJXQw,Canon,Canon EOS 6D,100,85,5.6,1/500,0
_4BM46SAv_0,Google,Pixel XL,65,4.7,2,1/120,1
3-Pf245rtFc,Canon,Canon EOS REBEL T5,100,55,22,1/13,0
ls4OK8rINvc,,,,,,,0
1WXm4JXAo_0,Canon,Canon EOS 5D Mark II,160,45,8,1/100,0
99bz22tvPWM,NIKON CORPORATION,NIKON D750,500,90,5,1/500,0
7x092PMauCg,NIKON CORPORATION,NIKON D600,2000,14,2.8,30,1
O5Ztn1Sa0iA,,,,,,,0
ts8z61Dzf6M,NIKON CORPORATION,NIKON D5300,800,270,6.3,1/400,1
IhWRrZx4-kk,Canon,Canon EOS 700D,100,50,16,1/200,1
lVdIPh6PRUY,Canon,Canon EOS 550D,200,50,1.8,1/80,0
8m8sQVZPAKg,SONY,ILCE-7M3,400,50,1.3,1/320,1
Vw6PwmjrtiE,Canon,Canon EOS 750D,100,50,1.8,1/400,1
85ftjZuE4kk,NIKON CORPORATION,NIKON D5000,200,35,2.2,1/4000,0
jqsprpPrn9w,Xiaomi,Mi Note 3,125,6.1,2.6,1/100,0
KxyAfJoWnkA,,,,,,,0
rSnV0lOhypw,Canon,Canon EOS 5D Mark IV,4000,24,2.8,1/160,1
BpyMbCNZdUE,Canon,Canon EOS 600D,100,270,11,1/250,0
ZP7Gg5m69Vg,Canon,Canon EOS 5D,1600,30,8,1/6400,0
VpjPHuFAI-4,SONY,ILCE-7RM3,320,35,1.4,1/250,1
Qp98pvJki-U,NIKON CORPORATION,NIKON D500,320,85,10,1/5,1
dpsiCINOBkI,Panasonic,DC-GH5,100,19,2.8,1/125,0
Vq3B58_XgjQ,SONY,ILCE-6000,100,30,2.8,1/500,1
0VD9TGRVrBs,Canon,Canon EOS 6D Mark II,800,35,5.6,1/1250,0
tCbiE28dDvE,Canon,Canon EOS 1200D,100,18,9,1/250,1
uBTRvPnBZWE,Canon,Canon EOS REBEL T5,100,50,1.8,1/500,1
0Se7YHdBbwo,Panasonic,DC-G9,200,14,2.5,1/800,0
eyB95KJ2zK0,DJI,FC220,100,4.7,2.2,1/240,0
mj3src61bus,NIKON CORPORATION,NIKON Df,100,85,1.8,1/4000,0
MQ_LpMSxgh8,SONY,ILCE-7M2,250,50,2,1/80,0
ax5ALcXsAlo,,,,,,,0
trZy8hkHEig,Apple,iPhone SE,25,4.2,2.2,1/1832,1
TbT4rLAActY,FUJIFILM,X-H1,1000,35,4.5,1/100,1
0QkyEoTQ6Pc,Hasselblad,L1D-20c,100,10.3,2.8,1/320,0
SJCc19SBg2k,Canon,Canon EOS 6D,400,85,2,6,0
3ENfnnjbdJs,NIKON CORPORATION,NIKON D5200,100,35,1.8,1/400,1
2Cirx1WkMvU,,,,,,,0
CwZjanxsCvs,NIKON CORPORATION,NIKON D500,320,30,1.8,1/100,1
nvDnfWuSyD8,,,,,,,1
U1vuL9fbtlc,FUJIFILM,X-T3,320,158.8,5.6,1/1000,1
JC5U3Eyiyr4,NIKON CORPORATION,NIKON D5100,200,40,6.3,1/160,1
n93RI_GPY1o,NIKON CORPORATION,NIKON D3300,100,55,9,1/200,1
WBwJGFSMY-s,NIKON CORPORATION,NIKON D60,200,55,5.6,1/100,0
g2-lALqauao,DJI,FC2103,100,4.5,2.8,1/230,1
mNL99FQ394I,SONY,ILCE-7M2,1250,50,1.8,1/13,0
ac66TUhKDjg,,,,,,,1
9LEogrMVMwY,FUJIFILM,X-T1,200,60,5.6,1/5000,1
2QX4INtycDQ,,,,,,,1
82NWNb5AGWc,,,,,,,1
swkcP16OfOU,Canon,Canon EOS 6D,800,85,11,1/90,0
Geh77zSh9FU,SONY,ILCE-7,100,50,1.8,1/2000,0
-pod5LGDELU,NIKON CORPORATION,NIKON D5,200,1000,13,1/6,1
Ac_l4zTIvGQ,NIKON CORPORATION,NIKON D7100,1250,14,2.8,20,0
PiZE371EmHc,SONY,ILCE-6000,3200,50,3.2,1/2000,0
9QF90iLO0q0,Canon,Canon EOS 5D Mark IV,2500,40,4,15,0
X1qnxR1QYbw,Canon,EOS 6D Mark II,160,70,2.8,1/250,0
xhD49fKOzw0,OLYMPUS CORPORATION,E-M1MarkII,64,12,5,1/15,1
49TMUrNQDQ0,SONY,ILCE-7RM2,500,30,18,1/250,1
9fZ4lXeQ4LE,Canon,Canon EOS 700D,100,50,1.8,1/80,0
zMct-fQxEtA,,,,,,,1
O-CQq6A5Qjw,NIKON CORPORATION,NIKON D7100,500,10,3.5,1/80,0
QlAwJcAiR1I,NIKON CORPORATION,NIKON D600,4000,28,3.5,30,1
XJjsuuDwWas,FUJIFILM,X-T2,100,16,7.1,1.5,1
ukUIrYA8SD4,NIKON CORPORATION,NIKON D600,250,50,16,1/5,1
W3wgy9tDgto,NIKON CORPORATION,NIKON D750,3200,120,4,1/200,1
RTUsoOh9e8M,Canon,Canon EOS 5D Mark IV,100,24,2.8,1/60,0
jE2oSbUBmrk,FUJIFILM,X-Pro2,500,35,4,1/200,0
w3WwUqNIHMk,SONY,ILCE-7RM3,200,36,2.8,1/100,1
_sK7own3aaw,Canon,Canon PowerShot G5 X,400,36.8,11,1/1000,1
Yc6gRT4PiGY,,,,,,,1
lh0mqRUCrok,SONY,ILCE-6000,640,,,30,1
V2Syj-c54ho,SONY,ILCE-7,200,60,8,1/80,0
wni1hBukmzQ,,,,,,,1
IyAmVX9y8Iw,Canon,Canon EOS 6D,100,,,1/160,1
fFzc4vomKDI,,,,,,,1
gf_bZa-VqW4,Panasonic,DC-G9,100,28,2.8,1/320,0
8F885lcKzBQ,SONY,ILCE-7M3,100,53,11,1/80,1
QGkQJTFfvRE,NIKON CORPORATION,NIKON D850,64,50,8,1/160,0
A0eVZiT6L9I,NIKON CORPORATION,NIKON D850,3200,24,2.8,15,1
kTUvCdJTe98,,,,,,,1
229sPpmo-ow,Canon,Canon EOS 600D,100,50,1.4,1/1000,1
ZqZ45gvb1sg,Canon,Canon EOS 70D,100,35,4.5,1/2500,1
5WDWayp5c50,SONY,ILCE-7RM3,800,35,2,30,0
AgE1Vmi-r_M,,,,,,,0
0CvGF6aNkbg,Canon,Canon EOS Rebel T6,800,50,1.8,1/30,1
H02pCXALq88,SONY,ILCE-7M3,6400,,,25,1
XEXy2MPrj-0,Canon,Canon EOS 5D Mark IV,100,70,2.8,1/5000,0
_7Xu54Y62eA,Canon ,EOS 5D Mark III,1250,14,2.8,10,0
oSa8wLXXCxs,Canon,Canon EOS M3,100,22,2,1/640,0
Vbbz9pZmn5o,Canon,Canon EOS 6D,1250,24,22,2.5,1
6TOkc13ZFfo,Canon,Canon EOS 5D,200,50,1.8,1/30,0
kxcpoJhGnr4,,,,,,,1
94QHcPVMk3s,NIKON CORPORATION,NIKON D600,100,17,20,1/8,1
ECpIDNdmO7k,Canon,EOS 6D,400,17,2.8,,0
cu3m1FEYgL8,NIKON CORPORATION,NIKON D7200,800,140,6.3,1/640,1
2rkJqhuNfxU,,,,,,,0
ZK0uz8cjdMs,NIKON CORPORATION,NIKON D7000,100,50,1.8,1/8000,0
pJsm7NGuTAQ,Canon,Canon EOS REBEL T5i,500,50,2.8,1/60,1
OOOK97y6A5c,Canon,Canon PowerShot G5 X,1000,36.8,10,1/800,0
zScN11MYJcQ,DJI Mavic Pro ,FC220,100,4.7,2.2,1/120,0
tCezUCsKoXU,FUJIFILM,X-E2,200,35,1.4,1/4000,0
sDt4NczMXAw,NIKON CORPORATION,NIKON Df,100,85,1.8,1/4000,0
a0V7k-HjAPc,Canon,Canon EOS 5D Mark IV,500,50,1.4,1/1600,0
zcES7JNIowE,Canon,Canon EOS 6D,1600,24,4,1/125,1
hEQXrmQPh_M,FUJIFILM,X-T2,200,90,2,1/250,0
PcKm231bGvo,Canon,Canon EOS 1300D,200,100,2.8,1/50,1
aOZ0TDoduVc,Canon,Canon EOS 7D Mark II,100,55,10,1/250,1
MTPGgd2BDB8,Canon,Canon EOS 5D Mark II,640,28,5,1/2500,0
IKw_--J6k3U,SONY,ILCE-7RM3,4000,203,5.6,1/250,1
5OrjrQswk2Q,Canon,Canon EOS 70D,200,35,1.4,1/640,0
pgMt1n8_CHE,Nikon ,D5500,,,,,0
xXVUgTPNoWk,NIKON CORPORATION,NIKON Z 6,100,14,7.1,1/200,1
dLPWPlwIjj4,DJI,FC220,102,4.7,2.2,1/100,0
me0hi86szok,Panasonic,DC-GH5,400,43,1.2,1/800,0
3lovxIcj6y8,Apple,iPhone 7 Plus,20,6.6,2.8,1/394,1
QhwZFN3GCv4,,,,,,,1
TEluwImQ12U,Canon,Canon PowerShot G5 X,400,36.8,10,1/640,1
8eJYLrG6cf0,SONY,ILCE-7RM2,100,32,4.5,1/1000,1
seFqZVb5ve4,OLYMPUS IMAGING CORP.,E-M5,1600,,,25,0
2FxgoQ0qcW4,DJI,FC220,103,4.7,2.2,1/50,0
_FopsQYoglk,Panasonic,DC-GH5,400,43,1.2,1/5000,0
7xEEADgBOeM,SONY,ILCE-7M3,100,70,10,1/400,1
y9iVVYJlSB8,SONY,ILCE-7M2,1600,55,1.8,13,1
OCXKWRZ7a70,NIKON CORPORATION,NIKON D750,100,90,8,1/250,1
92CBksbw2bE,Canon,Canon EOS 7D Mark II,500,10,11,1/400,1
HFfKonA7DJ0,Canon,Canon EOS 5D Mark IV,100,24,5,30,1
WLbMywo5fe0,Apple,iPhone X,50,4,1.8,1/120,0
M7CWtla_8vE,Canon,Canon EOS 6D,100,50,1.8,1/3000,0
L-4apha4ozY,,,,,,,0
loEcRIcenT8,SONY,ILCE-6300,100,50,1.8,1/320,0
drp8ZyHJeCg,Canon,Canon EOS 5D,800,30,2.2,1/5000,0
LT8QtXYQPfg,SONY,ILCE-6000,100,50,1.8,1/800,1
wRSZvWiylF8,Canon,Canon EOS 6D,400,85,5.6,1/90,0
6U2Z1e2acZY,Canon,Canon EOS 80D,160,35,1.4,1/250,1
rGL9bjHDqNM,,,,,,,1
1xZ0SqLPE4E,FUJIFILM,X-Pro2,200,35,1.4,1/120,1
hIV2CAyCPI4,NIKON CORPORATION,NIKON D3300,1600,50,1.8,13,1
Oze6U2m1oYU,Nikon,D7500,800,360,,180,1
mW3wrWhOWy0,Canon,Canon EOS 6D,500,55,16,1/125,1
JXcIQbDeQeM,Canon,Canon EOS 6D,500,58,4,1/160,0
z2owxl2PmUk,Hasselblad,L1D-20c,100,10.3,11,1/2500,1
-fYJTwYqNxk,NIKON CORPORATION,NIKON D500,320,26,3.5,1/2000,1
1e_HHIbqk7s,DJI,FC2204,100,4.4,2.8,1/500,1
cjkgrFt_6bE,GoPro,HERO4 Silver,100,3,2.8,1/900,1
xx3pR46oEbY,Canon,Canon EOS 6D,1600,24,2.8,2,1
EzHhVeuZslw,,,,,,,1
IjEVXWZIZ2g,Canon,Canon EOS 7D Mark II,1600,10,4,25,1
y48c_HxhV6E,SONY,ILCE-6300,100,50,1.8,1/400,0
gEta6dbzFy0,NIKON CORPORATION,NIKON D800,1250,85,16,1/125,0
X3UnsBipC-s,NIKON CORPORATION,NIKON D850,200,34,8,1/100,0
Nx6bI8cNoyM,FUJIFILM,X-Pro2,640,50,2.8,1/500,0
0BNbrjI3HuE,DJI,Mavic Pro,,,,,0
YlswFus744g,DJI,FC220,100,4.7,2.2,1/50,0
NbPJ8HM-w8c,DJI,FC220,100,4.7,2.2,1/50,0
vYxj6gNMBoU,SONY,ILCE-7,250,58,5,1/200,1
5XEi4zfliX4,,,100,85,1.4,1/320,1
CSORty3B_hs,DJI,FC330,100,3.6,2.8,1/1000,1
ROKiNFIhd9M,OLYMPUS IMAGING CORP.,E-M10,,28,11,1/500,1
HGh3GDvXgX8,NIKON CORPORATION,NIKON D750,800,78,2.8,1/250,0
4Vo3VBP7aMs,Sony,,,,,,1
_mkb0Vby9tA,DJI,FC1102,100,4.5,2.6,1/200,0
wuDvhtaAYYI,OLYMPUS IMAGING CORP.,E-M5MarkII,1000,16,2.8,1/100,1
vICWwl6lIVc,SONY,ILCE-6000,100,50,2,1/1250,0
RtrWRyotaZo,Canon,Canon EOS Rebel T6i,200,16,18,2,1
a8VxCn86y4s,Canon,Canon EOS Rebel T7i,800,50,1.8,1/500,0
_JXeqmjpVSk,,,,,,,1
V-rJyV1t4iY,SONY,ILCE-7RM2,6400,28,2,1,1
tcR4hHSDh7g,,,,,,,1
4e9eeHdiBi0,Canon,Canon EOS 6D,400,105,16,1/13,1
DqHPVpEOs4o,Canon,Canon EOS 5D Mark IV,1600,24,4.5,1/6400,0
POgMHuW2G_U,FUJIFILM,X-T2,100,16,8,1/450,1
uP7LheisWcM,SONY,ILCE-7M2,160,25,2,1/8000,0
s_IHISlORGo,Canon,Canon EOS 70D,640,30,1.6,1/100,0
yCWQevKzkkM,NIKON CORPORATION,NIKON D5200,250,38,4.8,1/250,0
ToTR39MBGMk,Canon,Canon EOS 6D,1600,14,8,,1
6mei_aaJZmg,Canon,Canon EOS 700D,100,35,13,1/125,0
35Q8AYLa-dM,Canon,Canon EOS 5D Mark II,5000,50,11,1/40,0
eSqpE9P_nqQ,Canon,Canon EOS 600D,400,50,5,1/4000,0
J4BhMdtGA1E,Canon,Canon EOS 80D,400,50,1.8,1/80,0
XScEdhZAHv0,SONY,ILCE-6000,3200,,,10,1
rp9hx2htHaI,"RICOH IMAGING COMPANY, LTD.",PENTAX 645Z,400,55,2.8,1/200,0
2uvVjqu3D6s,FUJIFILM,X-T2,400,35,1,1/6000,1
mf8A3tpVWPU,Canon,Canon EOS 6D,320,24,14,10,1
cfAH6Fiuc2c,,,,,,,0
g0Agt6NVTmc,Canon,Canon EOS 5D Mark III,5000,16,7.1,30,1
kYobqI1URDg,,,,,,,0
3Nws2zWA5eo,Canon,Canon EOS Rebel T6i,100,300,7.1,1/500,1
yaSXZOWymV8,SONY,ILCE-7RM2,100,35,2.8,1/80,0
OueojWSe66o,NIKON CORPORATION,NIKON D7200,200,18,4,1/1250,0
8rzNygM1NDs,,,,,,,1
JT0lj0-spjk,samsung,SM-N950F,200,4.3,1.7,1/15,1
JutmyJcPvAU,Canon,Canon EOS REBEL T2i,100,50,2.2,1/1250,1
dxYdPSuBr-U,Canon,Canon EOS 6D,100,105,4,1/1000,1
ltHZ2CPXrqI,,,,,,,1
q21lIp5i3mM,Canon,Canon EOS 6D,100,35,2.5,1/1000,0
nvo7jmzDDew,Canon,Canon EOS 7D,800,50,2.5,1/320,1
UMgb7Z2Yi3E,NIKON CORPORATION,NIKON D7200,800,38,8,1/3200,1
9Jk2HyIX6HQ,Canon,Canon EOS 400D DIGITAL,400,58,5,1/800,1
3cNiEmCBeFk,,,,,,,1
4h_F8Ioq9iI,SONY,ILCE-7M3,2000,49,4.5,1/60,0
s9w9L0V8L9U,NIKON CORPORATION,NIKON D7100,100,50,2.8,1/250,1
lma-UBA4LEk,Canon,Canon EOS 6D,500,100,2.8,1/400,1
yJWMkgircKs,Canon,Canon EOS 6D,100,50,1.8,1/500,0
AFKOugrPThg,Panasonic,DMC-G7,3200,25,1.7,1/50,1
k8xaxyEUHKI,Canon,Canon EOS DIGITAL REBEL XT,400,216,6.3,1/320,1
l-yLMANPunw,Canon,Canon EOS 80D,100,79,8,1/250,0
xROcpKs3Phg,,,,,,,1
83BjY5qcPKg,Panasonic,DMC-GH4,200,25,1.7,1/100,0
tk3Mt8tLO38,DJI,FC220,100,4.7,2.2,1/50,1
Pnvqz3Be90w,SONY,ILCE-7M3,100,34,5.6,1/125,0
iUYa7eG5n40,Canon,Canon EOS 80D,400,400,6.3,1/250,1
DLIN3vBvssg,OLYMPUS CORPORATION,E-M10MarkII,200,37,5.5,1/640,0
pHBlOgHWcEg,NIKON CORPORATION,NIKON D750,5000,15,2.4,15,1
kxzhL_3efMY,Canon,Canon EOS 200D,100,135,5.6,1/500,1
-zzvGaZ3gjY,SONY,ILCE-7RM3,160,560,8,1/500,0
0M98PE0Cef8,FUJIFILM,X-T20,100,50,7.1,1/180,0
PDAzh1rSIa8,DJI,FC220,100,4.7,2.2,1/60,0
UiRRFlDSyXs,NIKON CORPORATION,NIKON D3300,360,18,8,1/250,1
E-6ZENGgngU,SONY,ILCE-7M3,800,75,2.8,1/200,0
cd25R-YvB9k,NIKON CORPORATION,NIKON D750,1250,42,2.8,1/4000,0
GluqwvkUyZU,SONY,ILCE-6000,100,,,1/4000,1
7K8x29GnBOU,NIKON CORPORATION,NIKON D3300,800,50,3.2,1/60,0
c2p02aZM7Fw,NIKON CORPORATION,NIKON D610,100,85,1.4,1/3200,0
YS2bshzJ1fs,FUJIFILM,X-E3,250,35,2.8,1/125,0
t37Jw6N76Us,Canon,Canon PowerShot ELPH 160,100,5,3.2,1,1
nW1CN5z5hHs,DJI,FC6310S,100,8.8,5,1/200,1
OQH-OtRvtwE,DJI,FC220,100,4.7,2.2,1/4000,1
5Rr6Q48gJds,Canon,Canon EOS 5D Mark III,1000,90,1.8,1/125,1
RNQ-ofADZvo,SONY,ILCE-7M3,320,85,1.8,1/400,0
7uQrE2W02hM,NIKON CORPORATION,NIKON D3300,100,17,18,1/125,0
JSTVAQUnDXM,DJI,FC300S,100,3.6,2.8,1/125,0
1pk-V9l5Qgg,FUJIFILM,X-T3,1250,35,1.8,1/52,1
t73ug0JGUBo,Canon,EOS 6D Mark II,125,70,2.8,1/1600,0
cX-KEISwDIw,Canon,Canon EOS 6D,250,35,1.6,1/80,1
n4qQGOBgI7U,Canon,Canon EOS 7D,1000,50,3.2,1/250,1
gj80u3CgKvM,Canon,Canon EOS 6D,100,85,2.8,1/400,1
zhqN_WPjKpY,FUJIFILM,X100T,3200,23,5,1/2000,0
Ai_z6NLnopY,Canon,Canon EOS 6D,200,35,2,1/800,1
xljjB3E2C5M,Canon,Canon EOS 6D Mark II,160,200,2.8,1/250,1
dA1BN6_qGCw,,,,,,,0
uFdsMOjWX58,NIKON CORPORATION,NIKON D800,400,800,8,1.3,1
JNRx9G7GQl4,NIKON CORPORATION,NIKON D850,160,50,1.8,1/1250,0
oiDC6fDtr3k,Canon,Canon EOS 6D,160,105,4,1/50,0
UTxNknflrl4,SONY,A6300,100,30,1.4,1/200,0
llCkggB7uCQ,,,,,,,1
KjmtLyEFax0,FUJIFILM,X-T3,250,48.5,2.8,1/75,1
ewQzWav6oIo,NIKON CORPORATION,NIKON D7500,160,14,9,3,1
0MN1we59-Cs,Canon,Canon EOS 5D,160,24,5,1/500,0
1e6qyO3Zy9Y,NIKON CORPORATION,NIKON D800,100,50,1.8,1/500,1
L3HrRyVyINo,Canon,Canon EOS 6D,200,35,4,1/1600,0
iT5lKJadIwI,NIKON CORPORATION,NIKON D750,640,90,9.5,1/60,1
PX_OfCulWxQ,NIKON CORPORATION,NIKON D5300,,,,,0
kAvS5cwZSUc,SONY,ILCE-6500,500,18,13,1/250,1
jrZyQgKfq68,Canon,Canon EOS 5D Mark II,6400,14,3.5,25,0
-b99oOqVJo4,Canon,Canon EOS 5D Mark IV,400,32,9,1/50,0
tw3RV3ZFG_s,Canon,Canon EOS 60D,100,50,2.8,1/400,1
BfOAfXIq1rc,Canon,Canon EOS 6D,100,50,5.6,1/60,0
KrNAe1fhw7A,NIKON CORPORATION,NIKON D750,100,50,1.4,1/80,1
T9s79_FQ6ow,DJI,FC2204,100,4.4,2.8,1/240,1
w6eLyP1Ib9M,Canon,Canon EOS 5D Mark III,500,24,4,1/6400,1
nyp3K_TqURA,,,,,,,0
YJ2RjAE9tjk,Canon,Canon EOS 5D Mark III,500,35,6.3,1/1000,1
OXTgZ_Uzb7Q,NIKON CORPORATION,NIKON D700,100,35,2.8,1/640,1
dkJrws8pIUU,Canon,Canon EOS 100D,100,33,4.5,1/40,1
USXfF_ONUGo,DJI,FC2103,100,4.5,2.8,1/50,0
0ZhlNZqCwpg,FUJIFILM,X100F,250,23,2.8,1/1000,0
GUIAoF789Ok,FUJIFILM,X-T20,800,35,7.1,1/180,0
